Age,Gender,Education Level,Job Title,Years of Experience,Salary,Country,Race,Currency_Type
32,Male,Bachelor's,Software Engineer,5,90000,UK,White,GBP
28,Female,Master's,Data Analyst,3,65000,USA,Hispanic,USD
45,Male,PhD,Senior Manager,15,150000,Canada,White,CAD
36,Female,Bachelor's,Sales Associate,7,60000,USA,Hispanic,USD
52,Male,Master's,Director,20,200000,USA,Asian,USD
29,Male,Bachelor's,Marketing Analyst,2,55000,USA,Hispanic,USD
42,Female,Master's,Product Manager,12,120000,USA,Asian,USD
31,Male,Bachelor's,Sales Manager,4,80000,China,Korean,CNY
26,Female,Bachelor's,Marketing Coordinator,1,45000,China,Chinese,CNY
38,Male,PhD,Senior Scientist,10,110000,Australia,Australian,AUD
29,Male,Master's,Software Developer,3,75000,UK,Welsh,GBP
48,Female,Bachelor's,HR Manager,18,140000,UK,Asian,GBP
35,Male,Bachelor's,Financial Analyst,6,65000,China,Korean,CNY
40,Female,Master's,Project Manager,14,130000,USA,African American,USD
27,Male,Bachelor's,Customer Service Rep,2,40000,Canada,Asian,CAD
44,Male,Bachelor's,Operations Manager,16,125000,China,Chinese,CNY
33,Female,Master's,Marketing Manager,7,90000,USA,Asian,USD
39,Male,PhD,Senior Engineer,12,115000,UK,Mixed,GBP
25,Female,Bachelor's,Data Entry Clerk,0,35000,UK,Asian,GBP
51,Male,Bachelor's,Sales Director,22,180000,Australia,Asian,AUD
34,Female,Master's,Business Analyst,5,80000,China,Korean,CNY
47,Male,Master's,VP of Operations,19,190000,UK,White,GBP
30,Male,Bachelor's,IT Support,2,50000,UK,Asian,GBP
36,Female,Bachelor's,Recruiter,9,60000,China,White,CNY
41,Male,Master's,Financial Manager,13,140000,USA,African American,USD
28,Female,Bachelor's,Social Media Specialist,3,45000,Canada,White,CAD
37,Female,Master's,Software Manager,11,110000,Australia,Asian,AUD
24,Male,Bachelor's,Junior Developer,1,40000,Australia,Asian,AUD
43,Female,PhD,Senior Consultant,15,140000,Canada,Black,CAD
33,Male,Master's,Product Designer,6,90000,China,Korean,CNY
50,Male,Bachelor's,CEO,25,250000,Canada,Asian,CAD
31,Female,Bachelor's,Accountant,4,55000,UK,White,GBP
29,Male,Master's,Data Scientist,3,75000,USA,Hispanic,USD
39,Female,Bachelor's,Marketing Specialist,10,65000,Canada,White,CAD
46,Male,PhD,Senior Manager,20,170000,USA,Hispanic,USD
27,Male,Bachelor's,Technical Writer,2,45000,Australia,Asian,AUD
35,Female,Bachelor's,HR Generalist,7,60000,UK,White,GBP
42,Male,Master's,Project Engineer,14,115000,China,White,CNY
26,Female,Bachelor's,Customer Success Rep,1,40000,Canada,Asian,CAD
49,Male,Bachelor's,Sales Executive,21,160000,China,White,CNY
34,Female,Master's,UX Designer,5,80000,UK,Asian,GBP
48,Male,Master's,Operations Director,18,190000,Canada,Black,CAD
30,Male,Bachelor's,Network Engineer,3,60000,China,Korean,CNY
36,Female,Bachelor's,Administrative Assistant,8,45000,UK,Asian,GBP
41,Male,Master's,Strategy Consultant,13,130000,UK,Asian,GBP
28,Female,Bachelor's,Copywriter,2,40000,USA,White,USD
32,Male,Bachelor's,Account Manager,5,75000,Australia,Asian,AUD
45,Female,Master's,Director of Marketing,16,180000,UK,Welsh,GBP
38,Male,PhD,Senior Scientist,11,120000,Australia,Asian,AUD
25,Male,Bachelor's,Help Desk Analyst,0,35000,USA,Asian,USD
51,Female,Bachelor's,Customer Service Manager,22,130000,China,Korean,CNY
33,Male,Master's,Business Intelligence Analyst,7,85000,Australia,Australian,AUD
40,Female,Bachelor's,Event Coordinator,12,60000,China,White,CNY
47,Male,Master's,VP of Finance,19,200000,Australia,Asian,AUD
29,Female,Bachelor's,Graphic Designer,3,50000,Canada,Black,CAD
36,Male,Bachelor's,Sales Manager,9,95000,China,Korean,CNY
27,Female,Master's,UX Researcher,2,65000,Canada,White,CAD
43,Male,PhD,Senior Engineer,17,140000,USA,Hispanic,USD
30,Female,Bachelor's,Social Media Manager,4,55000,Canada,White,CAD
35,Male,Master's,Product Manager,7,105000,Canada,Asian,CAD
51,Female,Master's,Director of Operations,23,170000,USA,African American,USD
29,Male,Bachelor's,Marketing Analyst,3,50000,China,Chinese,CNY
40,Female,Bachelor's,HR Manager,12,80000,China,Korean,CNY
47,Male,PhD,Senior Data Scientist,21,180000,China,White,CNY
26,Male,Bachelor's,Junior Accountant,1,35000,Australia,Australian,AUD
38,Female,Master's,Digital Marketing Manager,10,90000,China,Korean,CNY
46,Male,Bachelor's,IT Manager,19,120000,Australia,Australian,AUD
31,Female,Bachelor's,Customer Service Representative,5,45000,Canada,Asian,CAD
34,Male,Master's,Business Development Manager,8,90000,Canada,Asian,CAD
49,Female,Master's,Senior Financial Analyst,18,150000,Canada,White,CAD
33,Male,Bachelor's,Web Developer,6,65000,USA,Hispanic,USD
39,Female,Bachelor's,Recruiter,11,70000,USA,Asian,USD
45,Male,PhD,Research Director,16,190000,UK,Mixed,GBP
28,Male,Bachelor's,Technical Support Specialist,2,40000,China,Korean,CNY
42,Female,Master's,Creative Director,14,120000,Canada,Black,CAD
37,Male,Bachelor's,Project Manager,10,95000,USA,Asian,USD
50,Female,Bachelor's,Operations Manager,22,160000,USA,White,USD
32,Male,Master's,Senior Software Engineer,6,100000,USA,African American,USD
48,Female,Master's,Human Resources Director,20,180000,Canada,Black,CAD
30,Female,Bachelor's,Content Marketing Manager,3,55000,Australia,White,AUD
36,Male,Bachelor's,Technical Recruiter,8,70000,UK,Asian,GBP
41,Female,Master's,Data Analyst,13,80000,USA,White,USD
25,Male,Bachelor's,Sales Representative,0,30000,Australia,Asian,AUD
52,Male,PhD,Chief Technology Officer,24,250000,Canada,Black,CAD
29,Female,Bachelor's,Junior Designer,2,40000,Australia,Asian,AUD
34,Female,Master's,Financial Advisor,10,95000,UK,White,GBP
27,Male,Bachelor's,Junior Account Manager,2,45000,Canada,White,CAD
40,Female,Bachelor's,HR Generalist,15,80000,USA,Hispanic,USD
46,Male,Master's,Senior Project Manager,21,135000,Canada,Asian,CAD
31,Female,Bachelor's,Marketing Coordinator,6,55000,Australia,Asian,AUD
36,Male,PhD,Principal Scientist,11,120000,UK,Mixed,GBP
29,Female,Bachelor's,Sales Associate,3,40000,China,White,CNY
43,Male,Bachelor's,Supply Chain Manager,18,105000,UK,Welsh,GBP
52,Female,Master's,Senior Marketing Manager,25,170000,China,Chinese,CNY
33,Male,Bachelor's,Business Analyst,7,75000,Australia,Australian,AUD
39,Female,Bachelor's,Training Specialist,12,65000,USA,African American,USD
47,Male,PhD,Research Scientist,22,160000,Australia,Asian,AUD
26,Male,Bachelor's,Junior Software Developer,1,35000,China,White,CNY
38,Female,Master's,Public Relations Manager,10,90000,UK,Asian,GBP
45,Male,Bachelor's,Operations Analyst,20,110000,China,Chinese,CNY
31,Female,Bachelor's,Event Coordinator,5,45000,Australia,Asian,AUD
35,Male,Master's,Product Marketing Manager,8,95000,China,White,CNY
49,Female,Master's,Senior HR Manager,19,150000,Australia,White,AUD
33,Male,Bachelor's,Junior Web Developer,5,50000,Canada,Asian,CAD
39,Female,Master's,Senior Project Coordinator,13,80000,UK,Welsh,GBP
44,Male,PhD,Chief Data Officer,16,220000,USA,African American,USD
30,Female,Bachelor's,Digital Content Producer,3,50000,UK,White,GBP
36,Male,Bachelor's,IT Support Specialist,7,60000,USA,Asian,USD
41,Female,Master's,Senior Marketing Analyst,14,100000,USA,White,USD
28,Male,Bachelor's,Customer Success Manager,2,40000,USA,Hispanic,USD
42,Female,Master's,Senior Graphic Designer,15,110000,USA,Asian,USD
37,Male,Bachelor's,Software Project Manager,9,95000,UK,White,GBP
50,Female,Bachelor's,Supply Chain Analyst,22,130000,UK,Welsh,GBP
32,Male,Master's,Senior Business Analyst,6,90000,USA,Asian,USD
23,Female,Bachelor's,Junior Marketing Analyst,0,35000,USA,White,USD
31,Male,Master's,Senior Financial Analyst,6,95000,Australia,Asian,AUD
40,Female,Bachelor's,Office Manager,15,65000,USA,White,USD
48,Male,PhD,Principal Engineer,20,170000,USA,Hispanic,USD
29,Female,Bachelor's,Junior HR Generalist,3,45000,Australia,Australian,AUD
35,Male,Master's,Senior Product Manager,10,120000,Canada,White,CAD
42,Female,Bachelor's,Sales Manager,17,100000,China,Korean,CNY
53,Male,Master's,Director of Marketing,25,180000,UK,Mixed,GBP
33,Female,Bachelor's,Junior Operations Analyst,5,50000,Australia,Australian,AUD
38,Male,Bachelor's,Customer Service Manager,11,80000,China,White,CNY
44,Female,PhD,Senior Scientist,16,140000,UK,Mixed,GBP
26,Male,Bachelor's,Junior Accountant,2,40000,UK,White,GBP
37,Female,Master's,Senior HR Generalist,9,95000,USA,African American,USD
45,Male,Bachelor's,Sales Operations Manager,18,110000,UK,White,GBP
32,Female,Bachelor's,Marketing Coordinator,4,50000,USA,White,USD
34,Male,Master's,Senior Software Developer,8,105000,Canada,White,CAD
50,Female,Master's,Director of Operations,21,160000,UK,White,GBP
29,Male,Bachelor's,Junior Web Designer,3,45000,China,White,CNY
40,Female,Master's,Senior Training Specialist,12,100000,Canada,Black,CAD
47,Male,PhD,Senior Research Scientist,22,160000,USA,Hispanic,USD
27,Male,Bachelor's,Junior Sales Representative,1,35000,UK,Mixed,GBP
39,Female,Bachelor's,Administrative Assistant,10,55000,Canada,Black,CAD
46,Male,Master's,Senior Project Manager,19,140000,Canada,Black,CAD
30,Female,Bachelor's,Junior Marketing Manager,4,50000,Canada,White,CAD
36,Male,Bachelor's,Junior Data Analyst,7,60000,Australia,Asian,AUD
43,Female,Master's,Senior Product Marketing Manager,14,120000,Australia,White,AUD
28,Male,Bachelor's,Junior Business Analyst,2,40000,USA,White,USD
41,Female,Master's,Senior Marketing Manager,13,110000,Australia,Australian,AUD
33,Male,Bachelor's,Junior Software Developer,5,50000,USA,Hispanic,USD
47,Male,Bachelor's,Senior Sales Manager,20,135000,China,White,CNY
25,Female,Master's,Junior Marketing Specialist,1,40000,Australia,Asian,AUD
34,Male,Bachelor's,Senior Business Analyst,8,90000,Australia,Asian,AUD
42,Female,PhD,Senior Data Scientist,16,150000,China,Chinese,CNY
31,Male,Bachelor's,Junior Project Manager,4,60000,UK,Welsh,GBP
38,Female,Bachelor's,Senior Accountant,10,80000,USA,African American,USD
45,Male,Master's,Director of Sales,19,175000,Canada,Black,CAD
29,Female,Bachelor's,Junior Recruiter,3,45000,Australia,Australian,AUD
36,Male,Master's,Senior Business Development Manager,11,120000,Canada,Black,CAD
43,Female,PhD,Senior Product Designer,18,140000,Australia,Asian,AUD
26,Male,Bachelor's,Junior Customer Support Specialist,2,35000,USA,Asian,USD
37,Female,Master's,Senior Marketing Analyst,9,95000,Canada,White,CAD
44,Male,Bachelor's,Senior IT Support Specialist,14,110000,USA,African American,USD
32,Female,Bachelor's,Junior Financial Analyst,5,50000,USA,Asian,USD
33,Male,Master's,Senior Operations Manager,7,115000,China,Korean,CNY
51,Female,PhD,Director of Human Resources,23,185000,China,Chinese,CNY
28,Male,Bachelor's,Junior Software Engineer,2,40000,Australia,White,AUD
39,Female,Bachelor's,Senior Sales Representative,12,90000,USA,Asian,USD
48,Male,Master's,Director of Product Management,21,175000,USA,Asian,USD
30,Female,Bachelor's,Junior Copywriter,3,45000,UK,Mixed,GBP
35,Male,Bachelor's,Senior Marketing Coordinator,7,80000,China,White,CNY
41,Female,Master's,Senior Human Resources Manager,13,120000,China,Korean,CNY
27,Male,Bachelor's,Junior Business Development Associate,1,35000,China,White,CNY
40,Female,Bachelor's,Senior Account Manager,14,110000,Australia,Australian,AUD
46,Male,PhD,Senior Researcher,18,150000,Canada,Black,CAD
31,Female,Bachelor's,Junior HR Coordinator,4,50000,China,Korean,CNY
34,Male,Master's,Senior Software Engineer,9,105000,China,Korean,CNY
50,Female,Master's,Director of Finance,20,180000,Australia,Australian,AUD
29,Male,Bachelor's,Junior Marketing Coordinator,2,40000,Canada,Asian,CAD
43,Male,Bachelor's,Senior Project Manager,16,140000,UK,White,GBP
26,Female,Master's,Junior Data Scientist,1,45000,Canada,Asian,CAD
35,Male,Bachelor's,Senior Operations Analyst,7,85000,China,White,CNY
42,Female,PhD,Senior Marketing Manager,18,140000,UK,Asian,GBP
31,Male,Bachelor's,Junior Accountant,4,50000,UK,Welsh,GBP
